Distance,Speed_HAM,Throttle_HAM,Brake_HAM,DRS_HAM,Speed_LEC,Throttle_LEC,Brake_LEC,DRS_LEC
2134.810726026813,242.0,100.0,False,0,241.1187504,100.0,False,0
2139.986837137924,242.0,100.0,False,0,241.1187504,100.0,False,0
2145.557583343338,241.62272698181818,100.0,False,0,241.0,100.0,False,0
2165.5791743251566,240.25909178181817,100.0,False,0,241.3874992,100.0,False,0
2169.3791743251563,240.0,100.0,False,0,241.3874992,100.0,False,0
2188.3862679811564,242.6437488,100.0,False,0,243.0,100.0,False,0
2190.951267981156,243.0,100.0,False,0,243.0,100.0,False,0
2204.586267981156,243.0,100.0,False,0,242.3625008,51.5500608,False,0
2207.151267981156,243.0,100.0,False,0,242.0,24.0,False,0
2211.3095735918223,241.4500032,81.4000384,False,0,242.0,24.0,False,0
2224.4456848807113,236.4500032,21.4000384,False,0,240.69000064,14.1750048,False,0
2228.2317959918223,235.0,4.0,True,0,240.69000064,14.1750048,False,0
2240.7317959918223,225.0,3.0,True,0,225.9750176,10.2749984,True,0
2246.9442336958223,219.2625072,3.6374991999999997,True,0,214.60000426666667,11.424999466666666,True,0
2250.4242336958223,216.0,4.0,True,0,214.60000426666667,11.424999466666666,True,0
2260.9761895102224,208.72000512,4.9099993600000005,True,0,210.0,12.0,True,0
2265.543300735111,205.52000512,5.30999936,True,0,202.47857737142857,13.157141942857143,True,0
2273.2099674017777,200.0,6.0,True,0,197.0,14.0,True,0
2278.840509113778,198.7250016,6.0,True,0,195.17000192,15.21999872,True,0
2282.030509113778,198.0,6.0,True,0,195.17000192,15.21999872,True,0
2287.5321342497778,194.1750048,7.699997866666667,True,0,194.0,16.0,True,0
2294.7771342497776,189.0,10.0,False,0,185.95454836363638,18.0,True,0
2303.1519557812067,186.10714514285715,11.157141942857143,False,0,178.6818210909091,18.0,True,0
2309.1830668923176,184.0,12.0,False,0,178.6818210909091,18.0,True,0
2315.3359336457397,181.56000256,19.92999168,False,0,176.0,18.0,False,0
2319.23593364574,180.0,25.0,False,0,176.0,18.0,False,0
2327.058155867962,176.0,30.0,False,0,172.0,31.0,False,0
2327.155928595558,175.99090967272727,30.009090327272727,False,0,172.0,31.0,False,0
2342.670272081619,174.53636421818183,31.463635781818184,False,0,170.2250016,31.0,False,0
2348.373605414952,174.0,32.0,False,0,169.0,31.0,False,0
2363.75138319273,173.0,42.0,False,0,169.0,46.0,False,0
2363.847499859041,173.00999936,42.10999296,False,0,169.0,46.0,False,0
2373.417499859041,174.0,53.0,False,0,169.50499968,50.54499712,False,0
2373.5141757843744,174.0166656,53.0333312,False,0,169.50499968,50.54499712,False,0
2380.326860928078,175.18333226666667,55.366664533333335,False,0,169.95499968,54.59499712,False,0
2385.117972039189,176.0,57.0,False,0,170.0,55.0,False,0
2394.130763624967,178.2749984,64.39374480000001,False,0,174.18333226666667,60.366664533333335,False,0
2401.030763624967,180.0,70.0,False,0,175.84999893333332,63.69999786666666,False,0
2411.3007801839003,183.02999808,68.48500096,False,0,179.1555527111111,63.21111182222222,False,0
2420.5872800879,185.72999808,67.13500096,False,0,184.0,62.0,False,0
2421.5172800879,186.0,67.0,False,0,184.0,62.0,False,0
2429.7395023101226,185.0,5.0,True,0,182.45606490194336,31.121298038867042,False,0
2430.8650162283448,184.1750048,4.633335466666667,True,0,182.45606490194336,31.121298038867042,False,0
2440.680294272789,176.6750048,1.3000021333333334,True,0,177.85712457142859,1.8428562285714285,True,0
2441.560294272789,176.0,1.0,True,0,161.0,1.0,True,0
2448.129109424197,166.53334186666666,1.394444088888889,True,0,161.0,1.0,True,0
2457.333553868641,152.0,2.0,True,0,161.0,1.0,True,0
2462.368633854424,147.36819470583006,2.0,True,0,145.21110613333335,0.4361109333333333,True,0
2466.9764116322017,143.0,2.0,True,0,145.21110613333335,0.4361109333333333,True,0
2468.706903595122,141.58570605714286,1.8428562285714285,True,0,133.0,0.0,True,0
2477.4913480395667,134.0,1.0,True,0,124.81000576,0.0,True,0
2479.117968546012,133.08713234552113,1.0,True,0,124.0,0.0,True,0
2484.8854188978084,129.76763291541278,1.0,True,0,124.0,0.0,True,0
2486.2112522311418,129.0,1.0,True,0,124.0,0.0,True,0
2493.3900276640306,127.3083328,0.4361109333333333,True,0,124.0,0.0,False,0
2498.885027664031,126.0,0.0,True,0,116.0,0.0,False,0
2504.8409779552308,117.81000576,0.90999936,True,0,116.0,0.0,False,0
2505.425977955231,117.0,1.0,False,0,115.9666688,0.24165119999999998,False,0
2512.41281142012,113.30000213333334,12.71665991111111,False,0,112.0,29.0,False,0
2516.66781142012,111.0,20.0,False,0,112.0,45.0,False,0
2524.1344780867867,112.0,20.0,False,0,112.0,44.0374976,False,0
2524.196711419409,112.01999872,20.23998464,False,0,112.0,44.0374976,False,0
2530.466711419409,114.0,44.0,False,0,112.0,48.9124976,False,0
2530.530058640742,114.0249984,44.0083328,False,0,112.0,48.9124976,False,0
2538.265058640742,117.0,45.0,False,0,120.97777208888888,56.17221831111111,False,0
2540.9884266051863,119.562496,50.6374912,False,0,120.97777208888888,56.17221831111111,False,0
2543.6317599385197,122.0,56.0,False,0,126.31110542222223,59.83888497777778,False,0
2549.276204382964,127.0,64.0,False,0,131.0,64.0,False,0
2549.3467911865196,127.0562464,64.031248,False,0,131.0,64.0,False,0
2559.0512006487415,134.3687464,68.093748,False,0,136.5499968,69.04545163636364,False,0
2561.242311759853,136.0,69.0,False,0,136.5499968,69.04545163636364,False,0
2569.1882683504705,141.61110755555555,72.36666453333333,False,0,142.0,74.0,False,0
2574.019749713433,144.9444408888889,74.36666453333333,False,0,142.0,75.0,False,0
2575.5608608245443,146.0,75.0,False,0,142.0,75.0,False,0
2584.0608608245443,153.0,76.0,False,0,157.0,75.0,False,0
2584.9989163623222,153.4999970909091,76.14999912727272,False,0,157.0,75.0,False,0
2593.7792192310094,158.04545163636362,77.5136354909091,False,0,158.85999616,75.15499968,False,0
2600.965077687575,161.68181527272728,78.60454458181817,False,0,167.85999616,75.90499968,False,0
